,id_produto,ean,nome_produto,categoria,unidade,preco_custo,preco_venda,margem_lucro,peso_gramas,controlado,status,data_cadastro
0,MED-0003,7891234560031,PARACETAMOL 750MG CX C/ 10 COMP,MEDICAMENTOS,CX,8.5,23.5,176.47,45,False,True,2020-03-15
1,MED-0012,7891234560122,DIPIRONA SÓDICA 500MG CX 20 COMP,MEDICAMENTOS,CX,32.0,84.9,165.31,80,False,True,2020-03-15
2,MED-0101,7891234561012,LOSARTANA POTÁSSICA 50MG CX 30,MEDICAMENTOS,CX,45.0,125.0,177.78,110,True,True,2020-06-01
3,MED-0250,7891234562505,INSULINA HUMANA NPH 100UI/ML 10ML,MEDICAMENTOS,FA,95.0,189.0,98.95,35,True,True,2021-01-10
4,MED-0251,7891234562512,SERINGA P/ INSULINA 1ML CX C/10,MEDICAMENTOS,CX,42.0,111.0,164.29,60,False,True,2021-01-10
5,HIG-0045,7891234560453,ESCOVA DENTAL ADULTO MACIA,HIGIENE PESSOAL,UN,12.0,35.0,191.67,30,False,True,2020-03-15
6,HIG-0102,7891234561029,CREME DENTAL ANTICÁRIES 90G,HIGIENE PESSOAL,UN,5.5,15.95,190.0,90,False,True,2020-03-15
7,COS-0078,7891234560784,PROTETOR SOLAR FACIAL FPS 50 50ML,COSMÉTICOS,UN,35.0,89.2,154.86,65,False,True,2020-09-20
8,COS-0090,7891234560906,HIDRATANTE CORPORAL INTENSO 400ML,COSMÉTICOS,UN,52.0,144.8,178.46,430,False,True,2020-09-20
9,BEB-0001,7891234560019,ÁGUA MINERAL NATURAL SEM GÁS 500ML,BEBIDAS,UN,1.2,3.5,191.67,520,False,True,2020-03-15
10,SUP-0010,7891234560107,VITAMINA C 1G EFERVESCENTE CX 10,SUPLEMENTOS,CX,18.0,42.0,133.33,55,False,True,2022-05-12
11,SUP-0011,7891234560114,OMEGA 3 1000MG CX 60 CAPS,SUPLEMENTOS,CX,35.0,89.9,156.86,95,False,True,2022-05-12
12,EQP-0001,7891234560211,MEDIDOR DE PRESSÃO DIGITAL,EQUIPAMENTOS,UN,120.0,289.0,140.83,350,False,False,2020-03-15
